Challenge,sin,cos,tan,sqrt,log,log10,log2,pow,exp,exp2,atan2,fabs,remainder,scalbn,rint,significand
3D_Image_Toolkit,X,X,,,,X,,X,,,,,,,X,
Accel,X,X,,X,X,X,,X,,,,X,X,,,
ASCII_Content_Server,,,,,,X,,X,,,,,,,X,
Audio_Visualizer,X,X,,X,X,,X,X,,,X,,,,,
basic_messaging,,,,,,X,,X,,,,,,,X,
Board_Game,,,,,,X,,X,,,,,,,X,
Carbonate,X,X,X,,,X,X,X,,,,,,,X,
Casino_Games,,,,,,X,,X,,,,,,,X,
CGC_File_System,,,,,,,,X,,,,,,,X,
CGC_Image_Parser,,,,,,X,,X,,,,,,,X,
CGC_Planet_Markup_Language_Parser,,,,,,X,,X,,,,,,,X,
CGC_Video_Format_Parser_and_Viewer,,,,,,,,X,,,,,,,X,
Checkmate,,,,,,,,X,,,,,,,,
chess_mimic,,,,,,X,,X,,,,,,,X,
Childs_Game,,,,,,,,,,,,,,,,
COLLIDEOSCOPE,,,,,,,,X,,,,,,,,
Corinth,X,,X,X,,X,,X,,,,X,,,X,
Cromulence_All_Service,,,,,,X,,X,,,,,,,X,
Diary_Parser,,,,,,X,,X,,,,,,,X,
Divelogger2,,,,,,X,,X,,,,,,,X,
Dive_Logger,,,,,,X,,X,,,,,,,X,
ECM_TCM_Simulator,,,,,,X,,X,,,,,,,X,
Email_System_2,,,,,,X,,X,,,,,,,X,
Estadio,X,X,X,,,,X,,,,,X,,,,
FaceMag,,,,,,X,,X,,,,,,,X,
Facilities_Access_Control_System,,,,,,X,,X,,,,,,,X,
FASTLANE,,,,,,,,X,,,,,,,,
Filesystem_Command_Shell,,,,,,X,,X,,,,,,,X,
Flash_File_System,,,,,,X,,X,,,,,,,X,
Flight_Routes,,,,,,X,,X,,,,,,,X,
FSK_Messaging_Service,,,,X,X,X,,X,,,,,,,X,
Game_Night,,,,,,,,X,,,,,,,,
GPS_Tracker,X,X,,X,,X,,X,,,X,,,,X,
greeter,X,,,,,,,X,,,,X,,,,
Grit,X,,,,,,,,,,,,,,,
hawaii_sets,,,,,,X,,X,,,,,,,X,
HighFrequencyTradingAlgo,,,,,,,,,,,,X,,,,
Lazybox,,,,,,X,,X,,,,,,,X,
Matchmaker,,,,,,,,X,,,,,,,,
Material_Temperature_Simulation,,,,,,X,,X,,,,,,,X,
Mathematical_Solver,,,,,,X,,X,,,,,,,X,
Monster_Game,,,,,,X,,X,,,,,,,X,
Multipass3,,,,,,,,X,,,,,,,,
Network_File_System_v3,,,,,,X,,X,,,,,,,X,
Network_File_System,,,,,,X,,X,,,,,,,X,
Network_Queuing_Simulator,,,,,,X,,X,,,,,,,X,
Pac_for_Edges,,,,X,,,,,,,X,X,,,,
Packet_Receiver,,,,,,X,,X,,,,,,,X,
Particle_Simulator,,,,X,,X,,X,,,,X,,,X,
PCM_Message_decoder,,,,,,X,,X,,,,,,,X,
Personal_Fitness_Manager,,,,,,X,,X,,,,,,,X,
PRU,,,,,,X,,X,,,,,,,X,
PTaaS,,,,X,,,,X,,,,X,,,,
Query_Calculator,,,,,,X,,X,,,,,,,X,
RAM_based_filesystem,,,,,,X,,X,,,,,,,X,
Recipe_and_Pantry_Manager,,,,,,X,,X,,,,,,,X,
Recipe_Database,,,,,,X,,X,,,,,,,X,
REMATCH_1--Hat_Trick--Morris_Worm,,,,,,X,,X,,,,,,,X,
REMATCH_2--Mail_Server--Crackaddr,,,,,,X,,X,,,,,,,X,
REMATCH_3--Address_Resolution_Service--SQL_Slammer,,,,,,X,,X,,,,,,,X,
REMATCH_4--CGCRPC_Server--MS08-067,,,,,,X,,X,,,,,,,X,
REMATCH_5--File_Explorer--LNK_Bug,,,,,,X,,X,,,,,,,X,
REMATCH_6--Secure_Server--Heartbleed,,,,,,X,,X,,,,,,,X,
Scrum_Database,,,,,,X,,X,,,,,,,X,
SCUBA_Dive_Logging,,,,,,X,,X,,,,,,,X,
Sensr,,,,,,,,,,,,,,,,
SFTSCBSISS,,,,,,X,,X,,,,,,,X,
Shortest_Path_Tree_Calculator,,,,,,X,,X,,,,,,,X,
simple_integer_calculator,,,,,,X,,X,,,,,,,X,
SPIFFS,,,,,,X,,X,,,,,,,X,
Street_map_service,,,,,,X,,X,,,,,,,X,
String_Storage_and_Retrieval,,,,,,X,,X,,,,,,,X,
The_Longest_Road,,,,,,X,,X,,,,,,,X,
Thermal_Controller_v2,,,,,,X,,X,,,,,,,X,
Thermal_Controller_v3,,,,,,X,,X,,,,,,,X,
TIACA,,,,,,X,,X,,,,,,,X,
User_Manager,,,,,,X,,X,,,,,,,X,
ValveChecks,X,,,,,,,X,,,,X,,,,
Virtual_Machine,,,,,,X,,X,,,,,,,X,
Water_Treatment_Facility_Simulator,,,,,,X,,X,,,,,,,X,
WhackJack,,,,,,X,,X,,,,,,,X,
yolodex,,,,,,X,,X,,,,,,,X,
